frame_number,timestamp,track_id,class,x1,y1,x2,y2,confidence
1,2025-05-31 14:59:25.893922,1,person,1394.7922,426.378,1516.9962,659.57336,0.807129
1,2025-05-31 14:59:25.894610,2,motorcycle,0.0,440.56995,406.81018,736.3677,0.80549836
1,2025-05-31 14:59:25.895243,3,motorcycle,721.9125,522.8773,1080.8423,809.0732,0.7702993
1,2025-05-31 14:59:25.895806,4,person,852.9514,390.9805,1017.7172,740.7744,0.7657057
1,2025-05-31 14:59:25.896392,5,person,103.82131,340.9008,289.34402,697.2457,0.7587982
1,2025-05-31 14:59:25.896891,6,bus,1636.8534,293.7868,1919.0321,484.74515,0.7351916
1,2025-05-31 14:59:25.897408,7,truck,934.5157,254.94261,1250.7627,544.4857,0.72342855
1,2025-05-31 14:59:25.897988,8,motorcycle,1356.1619,532.9529,1554.3483,688.11005,0.62799764
1,2025-05-31 14:59:25.899055,9,truck,522.6305,353.24683,1160.1719,649.13586,0.60470605
1,2025-05-31 14:59:25.899868,10,truck,1223.9563,282.3454,1617.5573,548.6682,0.5857731
1,2025-05-31 14:59:25.900608,11,car,363.5531,380.31793,567.5044,598.11774,0.55968404
1,2025-05-31 14:59:25.901258,12,motorcycle,1588.3137,495.64038,1773.1532,633.6221,0.5368065
1,2025-05-31 14:59:25.901804,13,person,1591.4375,446.46396,1682.9316,629.6432,0.5065552
2,2025-05-31 14:59:26.663080,1,person,1404.4283,429.70157,1523.1224,651.2593,0.7748776
2,2025-05-31 14:59:26.663805,2,motorcycle,4.7399135,437.0999,428.9488,736.4451,0.8008623
2,2025-05-31 14:59:26.664539,3,motorcycle,745.78894,522.7585,1097.8641,809.5554,0.8317058
2,2025-05-31 14:59:26.665042,4,person,870.25494,389.22742,1039.7662,728.51935,0.7690702
2,2025-05-31 14:59:26.665589,5,person,132.28775,343.38644,323.59726,698.37396,0.7642193
2,2025-05-31 14:59:26.666026,6,bus,1639.473,296.18286,1919.6613,492.00513,0.76439464
2,2025-05-31 14:59:26.666482,7,truck,938.87067,255.18022,1259.1877,540.04047,0.5527323
2,2025-05-31 14:59:26.667067,8,motorcycle,1367.5476,521.8979,1575.8746,688.505,0.7779193
2,2025-05-31 14:59:26.667634,9,truck,535.2414,354.83936,1173.9727,648.31256,0.60416996
